category,goods_id,goods_name,color,sale_price,origin_price,design,material,stereotype,length
毛织,1JH3037690870,【917店庆周399元】灯笼袖套头羊毛衣,深蓝,￥399 ,￥799 ,"面料:腈纶43.2%羊毛42.9%聚酯纤维13.9%里料:聚酯纤维100%",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,合体,适中
毛织,1JY3031930870,宽松后V套头毛衣,杏色,￥349 ,￥699 ,"衫身:锦纶52.3%羊毛42.2%氨纶5.5%罗纹:锦纶52%羊毛42.4%氨纶5.6%(边缘加弹部分除外)",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,宽松,适中
毛织,1JY3032050090,撞色卡通套头毛衣,黑色,￥299 ,￥539 ,"面料:聚酯纤维49%锦纶21%莱赛尔纤维20%羊毛10%(提花部分除外)",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,合体,适中
毛织,1JY3032200090,【917店庆周284元】一字领套头毛衣,黑色,￥284 ,￥569 ,"面料:锦纶60.6%腈纶24.7%羊毛9.3%兔毛3.9%其他纤维1.5%罗纹:锦纶63.3%腈纶22.5%羊毛7.6%其他纤维3.5%兔毛3.1%",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,宽松,适中
毛织,1JY3032200130,【917店庆周284元】一字领套头毛衣,黑色,￥284 ,￥569 ,"面料:锦纶58.9%腈纶27.5%羊毛9.6%兔毛4%罗纹:锦纶65.5%腈纶23.2%羊毛7.9%兔毛3.4%",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,宽松,适中
毛织,1JY3032200510,【917店庆周284元】一字领套头毛衣,黑色,￥284 ,￥569 ,"面料:锦纶60%腈纶27%羊毛9.3%兔毛3.7%罗纹:锦纶64.9%腈纶24.1%羊毛7.6%兔毛3.4%",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,宽松,适中
毛织,1JY3036740950,撞色条纹套头毛衣,彩条,￥339 ,￥669 ,"面料:聚酯纤维48.6%腈纶23.5%锦纶19.8%羊毛8.1%罗纹:聚酯纤维43.1%锦纶32.2%腈纶19.3%羊毛5.4%",产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,合体,适中
毛织,1JJ3031890010,一字喇叭袖针织衫,米白,￥499 ,￥499 ,面料:粘纤74%锦纶13%聚酯纤维13%,产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,修身,适中
毛织,1JJ3031890462,一字喇叭袖针织衫,米白,￥499 ,￥499 ,面料:粘纤74%锦纶13%聚酯纤维13%,产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,修身,适中
毛织,1JJ3034130010,小高领拉链针织衫,米白,￥469 ,￥469 ,面料:粘纤70%聚酯纤维30%,产品或产品的某一部分含有2种及以上的纤维时，除了许可不标注的纤维外，在标签上标明的每一种纤维含量允许偏差为5%，填充物的允许偏差为10%.,修身,适中
